pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
fire,20,glaciers,14,bottle,22
wave,20,five,14,summit,22
gate,20,nearly,14,treat,22
release,20,advocate,14,nye,21
laugh,20,rick,14,survive,21
cite,20,jerry,14,youtube,21
trillion,20,drill,14,guess,21
france,20,san,14,usa,21
brilliant,19,yet,14,temperatures,21
online,19,webpage,14,corporate,21
inspiration,19,ap,14,society,21
theeconomist,19,roguenasa,14,decide,21
researchers,19,idaho,14,either,21
wake,19,outpace,14,poll,21
democrats,19,islands,14,accuse,21
wear,19,climatemarch,14,walk,21
politicians,19,dicaprios,13,ass,21
teach,19,deforestation,13,astrokatie,21
pledge,19,retweeted,13,choose,21
review,19,demand,13,send,21
literally,19,mitigation,13,launch,21
congress,19,reform,13,victory,21
miss,19,biodiversity,13,approach,21
yall,19,voice,13,foxnews,21
baby,19,cut,13,buy,21
refuse,19,population,13,predict,21
humanity,19,especially,13,season,21
resilience,19,mother,13,friends,21
biodiversity,19,di,13,idea,21
governments,19,movie,13,governor,21
goals,19,presidential,13,page,21
event,19,dry,13,starve,21
pres,19,financial,13,kerry,21
underscore,19,congress,13,nowthisnews,21
threaten,19,remember,13,general,21
conversation,19,citizens,13,nrdc,21
february,19,else,13,joke,21
greenhouse,19,belief,13,activity,21
harvey,19,tech,13,investors,21
enter,18,tomorrow,13,fox,21
treat,18,military,13,ahead,21
season,18,false,13,ceo,21
rest,18,cop,13,indigenous,20
buy,18,four,13,wan,20
provide,18,greenhouse,13,university,20
fun,18,problems,13,iansomerhalder,20
though,18,force,13,party,20
drought,18,african,13,voters,20
billions,18,temperatures,13,weve,20
mine,18,train,13,destruction,20
eliminate,18,wake,13,hand,20
list,18,reindeer,13,dupe,20
choose,18,democrats,13,halt,20
photos,18,experience,13,billmckibben,20
experience,18,recent,13,forward,20
lmao,18,decision,13,propose,20
attention,18,mayors,13,ignorant,20
commitments,18,beat,13,hat,20
panel,18,survey,13,irony,20
conservatives,18,among,13,follow,20
massive,18,canadas,13,emergency,20
tveitdal,18,ive,13,bitch,20
lastweektonight,18,mark,13,interest,20
remind,18,landscape,13,billion,20
die,18,ajplus,13,four,20
middle,18,noaa,13,insane,20
prof,18,nbcnews,13,abc,20
todays,18,lgbt,13,bet,20
ship,18,droughts,13,bc,20
beat,18,lawmakers,13,expert,20
extinction,18,second,13,suggest,20
anthropogenic,18,emanuel,13,bloomberg,20
junkscience,18,encyclical,13,south,20
francis,18,strategy,12,argument,20
russia,18,directly,12,department,20
liberals,18,marine,12,regulations,20
historic,18,knowledge,12,shell,20
narendramodi,18,tveitdal,12,algore,20
young,17,fly,12,community,20
tech,17,image,12,safetypindaily,20
pretend,17,nytscience,12,historic,20
lose,17,foxnews,12,resist,19
david,17,limit,12,smh,19
bs,17,thank,12,hillaryclinton,19
coast,17,liberal,12,shift,19
freeze,17,n,12,th,19
finance,17,whole,12,paper,19
students,17,progress,12,temperature,19
suppose,17,cancel,12,remain,19
war,17,irrefutable,12,moral,19
unep,17,activists,12,ruin,19
greater,17,diseases,12,anti,19
pause,17,billmckibben,12,dept,19
algore,17,possibly,12,cite,19
alternative,17,kerry,12,nearly,19
gun,17,effort,12,confuse,19
close,17,different,12,roll,19
common,17,religion,12,minute,19
second,17,unep,12,source,19
perfect,17,seek,12,nation,19
citizensclimate,17,huffingtonpost,12,disagree,19
kill,17,kurteichenwald,12,court,19
network,17,laws,12,n,19
scale,17,host,12,russian,19
nobody,17,month,12,recognize,19
billionaires,17,miami,12,play,19
theory,17,harvard,12,michael,19
ability,17,stories,12,solar,19
abt,17,responsibility,12,officials,19
warmest,17,professor,12,refugee,19
case,17,tip,12,slate,19
percent,17,la,12,skepticism,19
globalwarming,17,antarctic,12,comment,19
coverage,17,finance,12,methane,19
